Variant_baseline,SignalDate,NextDate,Market,Sector,Symbol,Contribution_baseline,Variant_candidate,Contribution_candidate,ContributionDelta,Excluded
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-03-31,2020-05-29,US,Health Care,BIIB,-0.00550564692866113,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.00550564692866113,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-03-31,2020-05-29,US,Health Care,GILD,0.007699667246896913,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.007699667246896913,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-03-31,2020-05-29,US,Information Technology,NVDA,0.06502757521525279,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.06502757521525279,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-05-29,2020-06-30,US,Consumer Discretionary,AMZN,0.025913345706782255,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.025913345706782255,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-05-29,2020-06-30,US,Consumer Discretionary,TSLA,0.05863712656541638,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.05863712656541638,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-05-29,2020-06-30,US,Health Care,LLY,0.014684552914013516,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.014684552914013516,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-05-29,2020-06-30,US,Information Technology,AMD,-0.004423786779124139,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.004423786779124139,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-05-29,2020-06-30,US,Information Technology,NVDA,0.014119361072984527,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.014119361072984527,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-06-30,2020-07-31,KR,Health Care,174900,-0.08910642570281124,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.08910642570281124,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-06-30,2020-07-31,KR,Information Technology,007810,0.04796511627906977,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.04796511627906977,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-06-30,2020-07-31,KR,Information Technology,083450,0.019946808510638306,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.019946808510638306,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-06-30,2020-07-31,US,Consumer Discretionary,TSLA,0.06093954082465372,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.06093954082465372,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-07-31,2020-08-31,US,Consumer Discretionary,AMZN,0.018092206738596416,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.018092206738596416,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-07-31,2020-08-31,US,Consumer Discretionary,TSLA,0.14829042505574233,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.14829042505574233,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-07-31,2020-08-31,US,Health Care,TMO,0.007261749932284634,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.007261749932284634,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-07-31,2020-08-31,US,Information Technology,AMD,0.03458607603480375,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.03458607603480375,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-07-31,2020-08-31,US,Information Technology,NVDA,0.051998406413725023,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.051998406413725023,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,KR,ETF,069500,-0.0032796660703637475,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0032796660703637475,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,US,Consumer Discretionary,AMZN,-0.02003356412352932,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.02003356412352932,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,US,Consumer Discretionary,TSLA,-0.03688393813184748,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.03688393813184748,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,US,Health Care,TMO,0.01724304498155608,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.01724304498155608,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,US,Information Technology,AMD,-0.028499594126626282,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.028499594126626282,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-08-31,2020-10-30,US,Information Technology,NVDA,-0.010427190076741089,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.010427190076741089,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-10-30,2020-11-30,US,Consumer Discretionary,GM,0.0539241498895656,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.0539241498895656,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-10-30,2020-11-30,US,Industrials,DE,0.03161436298842118,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.03161436298842118,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-10-30,2020-11-30,US,Industrials,FDX,0.02089647102143153,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.02089647102143153,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-10-30,2020-11-30,US,Information Technology,NOW,0.014864247699179512,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.014864247699179512,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-10-30,2020-11-30,US,Information Technology,QCOM,0.038602425854336354,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.038602425854336354,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-11-30,2021-01-29,KR,ETF,069500,0.034813319878910176,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.034813319878910176,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-11-30,2021-01-29,KR,Information Technology,053610,0.04022277227722773,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.04022277227722773,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-11-30,2021-01-29,US,Consumer Discretionary,TSLA,0.07463333843034964,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.07463333843034964,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2020-11-30,2021-01-29,US,,FCX,0.028217238099621997,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.028217238099621997,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,KR,ETF,069500,0.0023505572441742486,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.0023505572441742486,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,US,Financials,COF,0.026120094700334568,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.026120094700334568,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,US,Financials,PYPL,0.018166835776710483,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.018166835776710483,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,US,Information Technology,AMAT,0.03746778862816528,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.03746778862816528,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,US,Information Technology,MU,0.02823556797020484,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.02823556797020484,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-01-29,2021-02-26,US,Materials,DD,-0.018515310134163705,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.018515310134163705,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-02-26,2021-03-31,KR,ETF,069500,0.002158014626543567,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.002158014626543567,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-02-26,2021-03-31,KR,Industrials,099320,-0.0009057971014492794,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0009057971014492794,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-02-26,2021-03-31,KR,Industrials,319400,-0.02845670391061452,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.02845670391061452,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-02-26,2021-03-31,US,,FCX,-0.005418767199010702,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.005418767199010702,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-03-31,2021-04-30,US,Financials,COF,0.03434727741046375,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.03434727741046375,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-03-31,2021-04-30,US,Industrials,DE,-0.001758737034792679,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.001758737034792679,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-03-31,2021-04-30,US,Industrials,GE,-0.00015229968223657854,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.00015229968223657854,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-03-31,2021-04-30,US,Information Technology,AMAT,-0.001332372849862451,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.001332372849862451,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-03-31,2021-04-30,US,Information Technology,LRCX,0.008470494361045721,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.008470494361045721,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-04-30,2021-06-30,US,Financials,COF,0.008058621762653973,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.008058621762653973,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-04-30,2021-06-30,US,Financials,WFC,0.0015041343803531505,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.0015041343803531505,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-04-30,2021-06-30,US,Industrials,DE,-0.009292349450017157,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.009292349450017157,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-04-30,2021-06-30,US,Information Technology,AMAT,0.014978430465480442,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.014978430465480442,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-04-30,2021-06-30,US,Information Technology,LRCX,0.010171229332076415,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.010171229332076415,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,KR,ETF,069500,-0.005353684929946459,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.005353684929946459,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,US,Financials,GS,-0.0020419942160516125,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0020419942160516125,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,US,Financials,SCHW,-0.011124780771267828,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.011124780771267828,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,US,Industrials,UPS,-0.013311239756668591,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.013311239756668591,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,US,Information Technology,AMAT,-0.0028909043552678053,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0028909043552678053,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-06-30,2021-07-30,US,Information Technology,NVDA,-0.004195298634060152,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.004195298634060152,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-07-30,2021-08-31,US,Financials,COF,0.006802046435815657,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.006802046435815657,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-07-30,2021-08-31,US,Financials,MS,0.01760783248135196,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.01760783248135196,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-07-30,2021-08-31,US,Health Care,LLY,0.012832802975077674,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.012832802975077674,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-07-30,2021-08-31,US,Information Technology,INTU,0.013638517055793243,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.013638517055793243,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-07-30,2021-08-31,US,Information Technology,NVDA,0.029641992343715895,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.029641992343715895,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-08-31,2021-09-30,KR,ETF,360750,-0.0019818799546998944,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0019818799546998944,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-08-31,2021-09-30,US,Financials,COF,-0.004518902911965633,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.004518902911965633,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-08-31,2021-09-30,US,Information Technology,NVDA,-0.013979759896039987,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.013979759896039987,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-08-31,2021-09-30,US,,DVN,0.041765919762917283,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.041765919762917283,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,KR,ETF,360750,0.00432404934503372,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.00432404934503372,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,US,Financials,AIG,0.012752776698415938,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.012752776698415938,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,US,Financials,SCHW,0.021027838259722133,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.021027838259722133,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,US,Health Care,CVS,0.009699833016935739,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.009699833016935739,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,US,Health Care,TMO,0.018010555849252374,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.018010555849252374,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-09-30,2021-10-29,US,Information Technology,NOW,0.020218982226340405,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.020218982226340405,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,KR,ETF,360750,0.00421470187182349,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.00421470187182349,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,US,Financials,BAC,-0.011545988491359441,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.011545988491359441,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,US,Financials,WFC,-0.010410256132706575,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.010410256132706575,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,US,Health Care,LLY,-0.003869397592559498,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.003869397592559498,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,US,Information Technology,INTU,0.0070049442852352,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.0070049442852352,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-10-29,2021-11-30,US,Information Technology,NVDA,0.046342337191332184,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.046342337191332184,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,KR,ETF,360750,-0.00961189698948132,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.00961189698948132,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,US,Financials,BLK,-0.028979126912034227,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.028979126912034227,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,US,Health Care,PFE,-0.01995505538551051,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.01995505538551051,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,US,Health Care,TMO,-0.02333722389610937,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.02333722389610937,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,US,Information Technology,AMD,-0.03686514687054626,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.03686514687054626,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2021-11-30,2022-02-28,US,Information Technology,NVDA,-0.04227371739706568,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.04227371739706568,0.0,1
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-02-28,2022-03-31,US,Energy,COP,0.010750356941352332,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.010750356941352332,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-02-28,2022-03-31,US,Energy,CVX,0.024518183515064795,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.024518183515064795,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-02-28,2022-03-31,US,Financials,AIG,0.005740562330451546,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.005740562330451546,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-02-28,2022-03-31,US,Financials,AXP,-0.007267131600830874,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.007267131600830874,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-03-31,2022-04-29,KR,ETF,360750,-0.00792066027689032,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.00792066027689032,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-03-31,2022-04-29,KR,Information Technology,007810,-0.012299999999999998,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.012299999999999998,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-03-31,2022-04-29,US,,APA,-0.0012896342676647077,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.0012896342676647077,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-03-31,2022-04-29,US,,OXY,-0.005452542606856001,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.005452542606856001,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-04-29,2022-05-31,US,Consumer Staples,MO,-0.005326596156162711,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,-0.005326596156162711,0.0,0
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,2022-04-29,2022-05-31,US,Energy,XLE,0.03206918654237772,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,0.03206918654237772,0.0,0
